"om_r","awc_r","wsatiated_r","kwfact","ph1to1h2o_r","compname","slope_r","runoff","tfact","elev_r","geomdesc","ffd_r","nirrcapcl","nirrcapscl","irrcapcl","irrcapscl","mukey","musym","muname","drainagecl","aws025wta"
1.25,0.14,30,0.24,4.50,"Cid",3,"Low",2,120,"interfluves, uplands, urban land",215,2,"e",,,115343,"CnB","Cid-Urban land complex, 1 to 5 percent slopes","Moderately well drained",3.52
2,0.10,44,0.17,4.60,"Colfax",2,"Very high",4,244,"depressions, uplands",215,3,"w",,,115344,"CoA","Colfax sandy loam, 0 to 3 percent slopes","Somewhat poorly drained",2.57
2,0.17,41,0.37,5.00,"Worsham",2,"Medium",5,244,"depressions, uplands",215,5,"w",,,115344,"CoA","Colfax sandy loam, 0 to 3 percent slopes","Poorly drained",2.57
3.5,0.13,39,0.28,5.50,"Wehadkee",1,"Low",5,244,"depressions on flood plains, valleys",215,6,"w",,,115344,"CoA","Colfax sandy loam, 0 to 3 percent slopes","Poorly drained",2.57
1.25,0.12,34,0.28,5.00,"Creedmoor",5,"High",5,244,"interfluves, uplands",215,2,"e",,,115345,"CrB","Creedmoor loam, 2 to 8 percent slopes","Moderately well drained",3.05
1.25,0.14,37,0.17,5.30,"Mayodan",5,"Low",5,244,"interfluves, uplands",215,2,"e",,,115345,"CrB","Creedmoor loam, 2 to 8 percent slopes","Well drained",3.05
0.25,0.16,44,0.37,5.90,"Georgeville",5,"Medium",5,244,"interfluves, uplands",215,2,"e",,,2440218,"GfB2","Georgeville silty clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.99
1,0.15,41,0.28,5.00,"Tarrus",5,"Medium",4,244,"interfluves, uplands",215,2,"e",,,2440218,"GfB2","Georgeville silty clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.99
1.25,0.12,17,0.1,4.50,"Goldston",30,"High",2,120,"hillslopes on ridges, uplands",215,7,"s",,,115354,"GsE","Goldston-Badin complex, 15 to 45 percent slopes","Well drained",3.40
1.25,0.18,46,0.37,5.00,"Tarrus",30,"High",4,120,"hillslopes on ridges, uplands",215,6,"e",,,115354,"GsE","Goldston-Badin complex, 15 to 45 percent slopes","Well drained",3.40
2,0.17,27,0.17,4.50,"Badin",30,"High",3,120,"hillslopes on ridges, uplands",215,6,"e",,,115354,"GsE","Goldston-Badin complex, 15 to 45 percent slopes","Well drained",3.40
1.25,0.12,21,0.15,4.50,"Goldston",5,"Medium",2,120,"interfluves, uplands",215,4,"s",,,115352,"GsB","Goldston-Badin complex, 2 to 8 percent slopes","Well drained",3.46
2,0.17,28,0.2,4.50,"Badin",6,"Medium",3,120,"hillslopes on ridges, uplands",215,2,"e",,,115352,"GsB","Goldston-Badin complex, 2 to 8 percent slopes","Well drained",3.46
1.25,0.12,17,0.1,4.50,"Goldston",12,"Medium",2,120,"hillslopes on ridges, uplands",215,4,"s",,,115353,"GsC","Goldston-Badin complex, 8 to 15 percent slopes","Well drained",3.35
2,0.17,27,0.17,4.50,"Badin",12,"Medium",3,120,"hillslopes on ridges, uplands",215,3,"e",,,115353,"GsC","Goldston-Badin complex, 8 to 15 percent slopes","Well drained",3.35
1.25,0.11,34,0.32,4.50,"Helena",5,"Medium",5,244,"ridges, uplands",215,2,"e",,,115355,"HeB","Helena fine sandy loam, 2 to 8 percent slopes","Moderately well drained",2.94
2,0.17,41,0.37,5.00,"Worsham",2,"Medium",5,244,"depressions, uplands",215,5,"w",,,115355,"HeB","Helena fine sandy loam, 2 to 8 percent slopes","Poorly drained",2.94
3.5,0.13,39,0.28,5.50,"Wehadkee",1,"Low",5,244,"depressions on flood plains, valleys",215,6,"w",,,115355,"HeB","Helena fine sandy loam, 2 to 8 percent slopes","Poorly drained",2.94
