"botname","comname","variety","growtype","method","wks_blf","sowdepth","space","life","light","comt1","comt2"
"Yucca filamentosa","Adam's needle","white","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-3,"covr",18,"Perennial","fsun",,
"Agastache sp.","Agastache","dwarf rose","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Perennial","fsun",,
"Medicago sativa","Alfalfa",,"orn","sow outdoors, <2 wks @ 68 F, rapid germ.",4,"covr",18,"Herbaceous perennial","fsun","roots are too strong for tiller",
"Allium aflatunense","Allium","purple","orn","2 wks @ 68, 4 wks @ 21 F, move to 53 F for germ.",-15,"thin",10,"Perennial","fsun",,
"Allium albopilosum","Allium","purple","orn","2 wks @ 68, 4 wks @ 21 F, move to 53 F for germ.",-15,"thin",10,"Perennial","fsun",,
"Allium amethystinum","Allium","amethyst","orn","sow @ 39 F, germ. erratic",-15,"thin",10,"Perennial","fsun",,
"Allium amphibolum","Allium","pale blue","orn","<2 wks @ 68 F, rapid germ.",-10,"covr","clump","Perennial","fsun",,
"Allium caeruleum","Allium","blue","orn","<2 wks @ 68 F, rapid germ.",-10,"covr","clump","Perennial","fsun",,
"Allium flavum","Allium","yellow","orn","2 wks @ 68, 4 wks @ 21 F, move to 53 F for germ.",-6,"thin",6,"hbb","fsun",,
"Allium hollandicum 'purple sensation'","Allium","purple","orn","sow @ 39 F, germ. erratic",-15,"thin",10,"Perennial","fsun",,
"Allium senescens","Allium","pale blue","orn","2 wks @ 68 F, 4 wks @ 39 , move to 68  for germ.",-15,"covr","clump","Perennial","fsun","blooms in 1 year from seed",
"Allium sikkimensis","Allium",,"orn","4 wks @ 39 F, move to 68 F for  germ.",-12,"thin",10,"Perennial","psha","likes cool shady spot","syn. A. tibeticum"
"Allium splendens","Allium",,"orn","<2 wks @ 68 F, rapid germ.",-10,"covr","clump","Perennial","fsun",,
